"CITING","CITED"
3858275,2915790
3858275,3001718
3858275,3131364
3858275,3139595
3858276,466846
3858276,2879549
3858276,3120030
3858276,3387337
3858277,3685100
3858278,55828
3858278,2446021
3858278,2621372
3858278,2761179
3858278,3611507
3858279,2229003
3858279,2901801
3858279,3203058
3858279,3222745
3858280,1130716
3858280,1454857
3858280,1457550
3858280,1714684
3858280,2815971
3858280,2838266
3858280,3033016
3858281,777409
3858281,1315755
3858281,1963446
3858281,3744099
3858282,1959319
3858282,2756172
3858282,2787435
3858282,2909822
3858282,3638286
3858282,3790992
3858283,2154099
3858283,2157381
3858283,2267384
3858283,2273773
3858283,2784474
3858283,3583041
3858284,3602754
3858284,3602756
3858284,3778127
3858285,2724562
3858285,2727297
3858285,2907097
3858285,2955773
3858285,3545078
3858286,1477851
3858286,3286595
3858286,3354761
3858286,3509619
3858286,3555963
3858286,3650018
3858287,1687498
3858287,2005885
3858287,2312762
3858287,3475803
3858287,3613316
3858287,3693544
3858287,3757398
3858288,822723
3858288,2702216
3858288,3140130
3858289,2043931
3858289,2072984
3858289,3527087
3858289,3691641
3858289,3697865
3858289,3820386
3858290,1905944
3858290,1908074
3858290,2779565
3858290,3301527
3858290,3446480
3858290,3627443
3858290,3697192
3858291,1840417
3858291,2004151
3858291,2340853
3858291,2351425
3858291,2512748
3858291,3768550
3858292,3703954
3858293,3775825
3858294,3310865
3858294,3529341
3858294,3584362
3858295,3122826
3858295,3553813
3858295,3624888
3858296,3525147
3858296,3602972
3858296,3672026
3858296,3689976
3858297,2814859
3858297,3347083
3858297,3494014
3858297,3581379
3858298,1929245
3858298,2863346
3858298,2916812
3858298,3028987
3858298,3048212
3858298,3142113
3858298,3373474
3858298,3785050
3858299,3711931
3858299,3718965
3858300,1631889
3858300,2160395
3858300,2339897
3858301,2148213
3858301,3508319
3858301,3751785
3858302,2395374
3858302,3151510
3858302,3212369
3858302,3706241
3858302,3768143
3858302,3774478
3858303,2121606
3858303,2531440
3858303,2812275
3858303,3110102
3858303,3623921
3858303,3647730
3858304,3266127
3858304,3537921
3858304,3616380
3858304,3733527
3858305,1815194
3858305,2820107
3858305,3491436
3858306,3459603
3858306,3723190
3858307,3705312
3858308,2387073
3858308,3531670
3858308,3564705
3858308,3655463
3858309,3084420
3858309,3360668
3858309,3623220
3858309,3698079
3858310,3106703
3858310,3134163
3858310,3168778
3858310,3310865
3858310,3460245
3858311,2199198
3858311,2282854
3858311,2671951
3858311,2972724
3858311,3137047
3858311,3186067
3858311,3401431
3858311,3496967
3858312,2399631
3858312,2400008
3858312,3046509
3858312,3063136
3858312,3202950
3858312,3443136
3858313,2592936
3858313,2968094
3858313,3060566
3858313,3315352
3858313,3688398
3858313,3688400
3858313,3689998
3858314,2130311
3858315,2019475
3858315,2713201
3858315,3262206
3858315,3783510
3858315,3786563
3858316,2245420
3858316,2280836
3858316,2289323
3858316,2618055
3858316,3740843
3858317,766725
3858317,2329729
3858317,2973576
3858317,3449992
3858317,3805383
3858318,1108748
3858318,2045884
3858318,2394884
3858318,2532770
3858318,2584231
3858318,2591925
3858318,2691817
3858318,2836882
3858318,3110093
3858318,3174214
3858318,3555674
3858319,2640793
3858319,2781577
3858319,2817893
3858319,2867037
3858319,3008230
3858319,3066405
3858320,689778
3858320,830016
3858320,1501020
3858320,2436507
3858321,1781098
3858321,2334257
3858321,2714760
3858321,2811342
3858321,2962812
3858321,3064399
3858321,3081661
3858321,3094751
3858321,3336970
3858321,3416578
3858321,3744363
3858322,2127285
3858322,2635338
3858323,1838982
3858323,3218109
3858323,3229369
3858324,951472
3858324,1755152
3858324,1899775
3858324,2143426
3858324,2423786
3858324,2543998
3858324,3308543
3858325,447475
3858325,2528431
3858325,2728145
3858325,2830380
3858325,3218724
3858326,34608
3858326,129311
3858326,1323148
3858326,1336010
3858326,1864832
3858326,1936846
3858326,3392450
3858327,1662836
3858327,2431087
3858327,3205587
3858327,3210988
3858327,3583815
3858328,1811300
3858328,2098564
3858328,2380932
3858328,2468554
3858328,2631455
3858328,2888752
3858329,3434220
3858330,3022581
3858330,3121000
3858331,2707838
3858331,2834122
3858331,3626602
3858331,3724096
3858332,205960
3858332,3190013
3858332,3204343
3858332,3208162
3858332,3229388
3858333,1584316
3858333,1693711
3858333,2491883
3858334,497917
3858334,531060
3858334,1873595
3858334,2921386
3858334,3290799
3858334,3673710
3858335,1185538
3858335,3038597
3858335,3316669
3858336,1811781
3858336,2958963
3858336,3313047
3858337,3333353
3858337,3810318
3858338,2173406
3858338,2663952
3858338,3111777
3858338,3243903
3858339,311220
3858339,1346053
3858339,1702700
3858339,2087432
3858339,2106335
3858339,2169409
3858339,2266724
3858340,286736
3858340,2586176
3858340,2779116
3858340,2994298
3858340,3000113
3858340,3445151
3858340,3466126
3858340,3503496
3858341,3137082
3858341,3187320
3858341,3210876
3858341,3261013
3858341,3675242
3858341,3739512
3858342,732540
3858342,1126294
3858342,2107034
3858342,2196136
3858342,2359517
3858343,1457373
3858343,1566812
3858343,2086008
3858343,2323096
3858343,2814151
3858343,2851815
3858343,3341966
3858343,3670446
3858344,2563386
3858344,2594981
3858345,2447105
3858345,3739518
3858346,2996553
3858346,3070495
3858346,3220921
3858347,1896175
3858347,2526371
3858347,3053533
3858348,1384972
3858348,3287846
3858348,3717949
3858348,3724121
3858349,1486463
3858349,2366652
3858349,2637139
3858349,3273281
3858350,2475318
3858350,2814907
3858351,2781611
3858351,2959891
3858351,3571947
3858352,2945321
3858352,3005283
3858352,3063192
3858352,3383795
3858352,3490170
3858352,3583093
3858352,3745696
3858353,2310037
3858353,3648405
3858353,3660931
3858354,2053031
3858354,3022604
3858354,3359681
3858355,1700121
3858355,2532857
3858355,2722170
3858355,2987330
3858355,3203033
3858355,3606404
3858356,3060525
3858356,3065507
3858356,3258876
3858356,3388500
3858357,3091818
3858357,3147562
3858357,3263359
3858357,3295589
3858358,1814616
3858358,2290979
3858358,2325517
3858358,2387193
3858358,2641087
3858358,2696049
3858358,3201901
3858359,1326561
3858359,2064344
3858359,2181487
3858359,2677461
3858359,2684558
3858359,3004279
3858359,3007191
3858359,3380196
3858359,3691689
3858359,3756377
3858360,554300
3858360,2261565
3858360,2665035
3858360,3631631
3858361,1923020
3858361,2859567
3858361,2906064
3858361,2907151
3858361,3129535
3858361,3566546
3858361,3701219
3858362,828894
3858362,1254071
3858362,2359594
3858362,2722092
3858363,1816494
3858363,2084138
3858363,2826872
3858363,3274736
3858363,3550322
3858364,2256104
3858364,2307899
3858364,2634832
3858364,2668342
3858364,3245187
3858364,3282012
3858364,3486579
3858364,3555754
3858364,3650078
3858364,3762110
3858365,1962481
3858365,3163971
3858365,3324621
3858365,3553924
3858365,3676980
3858366,2606406
3858366,3528200
3858367,3065579
3858368,170178
3858368,456208
3858368,1837938
3858368,2017881
3858368,3213642
3858369,773612
3858369,933962
3858369,2454777
3858369,2976649
3858370,2317428
3858370,2459953
3858370,2651483
3858370,2921464
3858370,3279729
3858371,3258885
3858372,668720
3858372,1272131
3858372,2810941
3858372,3054153
3858372,3114176
3858372,3183560
3858372,3255556
3858372,3277620
3858372,3512324
3858373,411683
3858373,3062337
3858373,3320708
3858373,3462906
3858374,596217
3858374,1090171
3858374,2198985
3858374,2258560
3858374,3158236
3858374,3355852
3858374,3550339
3858375,852450
3858375,1268032
3858375,1836980
3858375,2174441
3858375,2949981
3858375,2976970
3858375,3001245
3858375,3147518
3858375,3205630
3858375,3314201
3858375,3362123
3858375,3488906
3858375,3570182
3858375,3638372
3858375,3734550
3858376,1369794
3858376,1420220
3858376,1465653
3858376,1477520
3858376,1708462
3858376,1732243
3858376,2043445
3858376,2140998
3858377,1962826
3858377,3377756
3858377,3398499
3858377,3436885
3858377,3449877
3858377,3574985
3858377,3719014
3858378,1562533
3858378,2163409
3858378,2175916
3858378,2335376
3858378,2449759
3858378,2508063
3858378,2569665
3858378,2651144
3858378,2663812
3858378,2707850
3858378,2756361
3858378,2951167
3858378,3302961
3858379,2340866
3858379,3190843
3858379,3220960
3858379,3308491
3858379,3548420
3858379,3721232
3858380,3230687
3858380,3457695
3858380,3492783
3858380,3513622
3858381,2746221
3858381,3105337
3858381,3410053
3858381,3423900
3858381,3698151
3858382,1794517
3858382,2045678
3858382,2069266
3858382,2790591
3858382,3044233
3858382,3100569
3858382,3468100
3858382,3646723
3858383,2672002
3858383,2926478
3858383,3034275
3858383,3350864
3858384,2318291
3858384,2647353
3858384,2716321
3858384,3271940
3858384,3600876
3858385,3077311
3858385,3455095
3858385,3478504
3858385,3540200
3858385,3540201
3858385,3640059
3858386,3342027
3858386,3365875
3858386,3419060
3858386,3664114
3858386,3670489
3858387,3184436
3858387,3418199
3858387,3560448
3858387,3608299
3858387,3696074
3858388,3688492
3858388,3744238
3858388,3817025
3858389,2786326
3858389,3462943
3858389,3577876
3858389,3638418
3858389,3733804
3858390,3181295
3858390,3252686
3858390,3621657
3858390,3777479
3858390,3777482
3858391,2886015
3858391,2962597
3858391,3310937
3858391,3440433
3858391,3443112
3858391,3691759
3858392,2589703
3858392,2912902
3858392,3092525
3858392,3102833
3858392,3106131
3858392,3199289
3858392,3299812
3858392,3754060
3858393,2892312
3858393,2936712
3858393,3444689
3858393,3470694
3858394,2274232
3858394,3383092
3858394,3401676
3858394,3710569
3858394,3809020
3858395,3048982
3858395,3358451
3858395,3686867
3858395,3716990
3858396,3160076
3858396,3481251
3858397,1917154
3858397,2461449
3858397,2930197
3858397,2994200
3858397,3140986
3858397,3278234
3858397,3284137
3858397,3348883
3858397,3410604
3858397,3421794
3858397,3432205
3858397,3449247
3858397,3470943
3858397,3552128
3858398,1293693
3858398,1435144
3858398,3020965
3858398,3478524
3858398,3608317
3858399,2397382
3858399,2922283
3858399,3140858
3858399,3212270
3858399,3543522
3858399,3750410
3858400,495036
3858400,1023526
3858400,1474808
3858400,1534968
3858400,1876205
3858400,2187223
3858400,3300938
3858400,3381479
3858400,3389560
3858400,3638434
3858400,3712825
3858401,3017934
3858401,3359741
3858401,3738434
3858402,2187871
3858402,3535884
3858402,3541588
3858402,3592155
3858402,3667240
3858402,3708987
3858402,3720066
3858403,2522787
3858403,2741899
3858403,3229470
3858403,3460373
3858404,2756765
3858404,2964916
3858404,3097496
3858404,3262280
3858404,3555483
3858405,2495350
3858405,2902838
3858405,3315487
3858405,3719058
3858406,2155516
3858406,2642724
3858406,3242687
3858406,3785554
3858407,2504184
3858407,3214932
3858407,3525234
3858407,3626715
3858407,3798921
3858407,3810366
3858408,1963565
3858408,2010259
3858408,2054460
3858408,2139244
3858408,2398035
3858408,2500679
3858408,3008306
3858409,2449824
3858409,3405986
3858409,3674359
3858410,1723630
3858410,2187387
3858410,2203591
3858410,2492479
3858410,2664716
3858411,607854
3858411,1223924
3858411,1304103
3858411,1648624
3858411,2304766
3858412,1483865
3858412,2239192
3858412,2354961
3858412,2841161
3858412,3028924
3858412,3055390
3858412,3403696
3858413,1483560
3858413,2209855
3858413,2439569
3858413,3353374
3858415,3668904
3858415,3780541
3858415,3781523
3858416,3324685
3858416,3327499
3858416,3680753
3858416,3781532
3858417,3036449
3858417,3108462
3858417,3159015
3858417,3550403
3858417,3668900
3858417,3738123
3858417,3745794
3858418,1642577
3858418,2039490
3858418,2313225
3858418,2797530
3858418,3267830
3858418,3295252
3858418,3354922
3858419,786586
3858419,1662612
3858420,16749
3858420,904860
3858420,3001392
3858421,1042477
3858421,1492076
3858421,3263321
3858421,3606779
3858422,3252312
3858422,3438125
3858422,3555866
3858422,3557590
3858422,3566647
3858422,3575025
3858422,3654788
3858423,873997
3858423,2709934
3858423,2710550
3858423,3143009
3858423,3167980
3858423,3301032
3858424,1071846
3858424,2601793
3858424,3076360
3858424,3147648
3858424,3169423
3858424,3461704
3858425,1382309
3858425,2987096
3858425,3435649
3858425,3492850
3858426,2741363
3858426,2887224
3858426,3731519
3858426,3748885
3858427,1610982
3858427,1702378
3858427,1766217
3858427,1807824
3858427,2700407
3858427,3316787
3858428,1956818
3858428,2471486
3858428,2742076
3858428,2804681
3858428,2851770
3858428,3119289
3858428,3561099
3858428,3588980
3858428,3628226
3858429,696068
3858429,747749
3858429,2887145
3858429,3051216
3858429,3324703
3858429,3472058
3858430,2132148
3858430,3543560
3858430,3559449
3858431,1326511
3858431,1571622
3858431,1758451
3858431,1977423
3858431,3168034
3858431,3307830
3858432,1437024
3858432,1827558
3858432,1883513
3858432,1960166
3858432,2102842
3858432,2652770
3858432,3030879
3858432,3130699
3858432,3301611
3858432,3464654
3858432,3493273
3858432,3549216
3858432,3557600
3858432,3590624
3858432,3727442
3858433,3059471
3858433,3473382
3858434,2484217
3858434,2824789
3858434,3476516
3858434,3507146
3858434,3552930
3858435,3400650
3858435,3468781
3858435,3589171
3858435,3690835
3858435,3701632
3858436,3464263
3858436,3584500
3858436,3662593
3858437,2847853
3858437,3024644
3858437,3140600
3858437,3190111
3858437,3712119
3858438,3354700
3858438,3427868
3858439,3505597
3858439,3713127
3858439,3822586
3858440,3248923
3858440,3315202
3858440,3482121
3858440,3612966
3858440,3719862
3858441,2957341
3858441,3270469
3858441,3442122
3858441,3442123
3858441,3772911
3858442,213525
3858442,642978
3858442,1937115
3858442,2187345
3858442,3193035
3858442,3533284
3858442,3537301
3858442,3564911
3858442,3572102
3858442,3580060
3858443,2385005
3858443,3538763
3858443,3595074
3858444,3385136
3858444,3596718
3858444,3613853
3858444,3710874
3858445,2441894
3858445,3452592
3858446,3588720
3858446,3654564
3858446,3699462
3858446,3762221
3858447,1747536
3858447,2526635
3858447,3392579
3858448,3388595
3858449,2811041
3858449,3096653
3858449,3747411
3858450,3327535
3858450,3376751
3858450,3419358
3858450,3479880
3858450,3489525
3858450,3530721
3858451,3148456
3858452,3051014
3858452,3069151
3858452,3220718
3858452,3235246
3858453,583825
3858453,662077
3858453,671495
3858453,912131
3858453,918934
3858453,1170877
3858454,2934199
3858454,3016757
3858454,3394608
3858455,679365
3858455,1987006
3858455,2292303
3858455,3675508
3858456,974502
3858456,2099594
3858456,2715051
3858456,3073278
3858456,3130599
3858456,3417634
3858456,3511105
3858456,3647011
3858457,2706020
3858458,1522596
3858458,1553767
3858458,2657591
3858458,3348851
3858458,3523599
3858459,2691901
3858459,2950629
3858459,2978928
3858459,3096666
3858459,3293934
3858459,3638771
3858459,3691872
3858460,3128642
3858460,3352392
3858460,3799304
3858461,1383047
3858461,2223768
3858461,3016600
3858461,3166957
3858461,3216286
3858461,3290917
3858462,228233
3858462,461649
3858462,598711
3858462,1152111
3858462,2289267
3858462,3442163
3858462,3548689
3858463,506261
3858463,2043546
3858463,2978072
3858463,3259365
3858464,564513
3858464,717400
3858464,956259
3858464,1391898
3858464,1573409
3858464,1954141
3858464,3757614
3858465,885596
3858465,1120751
3858465,2696134
3858466,584814
3858466,618859
3858466,637375
3858467,2855814
3858467,2879681
3858467,3717054
3858468,1453176
3858468,3608809
3858468,3698267
3858469,1670317
3858469,3052146
3858470,1082926
3858470,2151377
3858470,2506117
3858470,3349822
3858471,1241255
3858471,3090261
3858471,3094015
3858471,3127661
3858471,3253484
3858471,3785235
3858472,2355082
3858472,3074565
3858472,3473357
3858472,3726166
3858473,1843208
3858473,2639025
3858473,3304820
3858473,3347121
3858473,3497056
3858473,3642120
3858473,3666085
3858474,3757618
3858474,3768101
3858475,813743
3858475,1589207
3858475,1609093
3858475,2222528
3858475,3056325
3858475,3137192
3858475,3648557
3858475,3791246
3858476,2776610
3858476,2957379
3858476,3138985
3858476,3199392
3858476,3456540
3858476,3744360
3858477,1173784
3858477,1369268
3858477,1772670
3858478,376791
3858478,2724116
3858478,2761348
3858478,2855817
3858478,3208330
3858478,3320845
3858478,3408891
3858479,2562336
3858479,2625071
3858479,3227031
3858479,3303736
3858479,3453927
3858479,3463046
3858479,3653294
3858479,3667340
3858480,474120
3858480,518775
3858480,812049
3858480,2122396
3858480,3435722
3858481,2503491
3858481,2656637
3858481,2916970
3858481,3367055
3858481,3665804
3858482,1148065
3858482,2276945
3858483,2642809
3858483,2847938
3858483,3040672
3858483,3094078
3858483,3177666
3858483,3199461
3858483,3208397
3858483,3289606
3858484,1876104
3858484,2260979
3858484,2372710
3858484,2613649
3858484,3732027
3858485,3357451
3858485,3426649
3858485,3452397
3858485,3483798
3858486,2381741
3858486,2712794
3858486,2895426
3858486,2972962
3858486,3068805
3858486,3086477
3858486,3136263
3858486,3270685
3858486,3295459
3858486,3353493
3858486,3398698
3858486,3470825
3858487,2155455
3858487,2292181
3858487,2528739
3858487,2815718
3858487,2821145
3858487,3046950
3858487,3073254
3858487,3142262
3858487,3153987
3858487,3228346
3858487,3255706
3858487,3366017
3858487,3554095
3858488,3485537
3858488,3576152
3858488,3712181
3858488,3717072
3858489,2196440
3858489,2832270
3858489,3125007
3858489,3354796
3858489,3590700
3858489,3611885
3858490,2853296
3858490,3420037
3858490,3613525
3858490,3680854
3858490,3783752
3858491,2152447
3858491,2996971
3858491,3091423
3858491,3313226
3858491,3591980
3858491,3685428
3858491,3706165
3858491,3718081
3858492,3097145
3858492,3348952
3858492,3607655
3858493,1901611
3858493,1953291
3858493,2285930
3858494,1115872
3858494,1486064
3858494,3135189
3858495,872837
3858495,958857
3858495,2244935
3858495,2649852
3858495,2939384
3858495,3232439
3858495,3297166
3858495,3393822
3858495,3590726
3858496,1101730
3858496,1299135
3858496,1706491
3858496,2175324
3858496,2257408
3858496,2744635
3858496,3563160
3858497,625739
3858497,2179742
3858497,2714861
3858497,2835920
3858497,2868141
3858497,3656517
3858498,3222035
3858499,3062737
3858499,3230860
3858499,3755915
3858500,2130610
3858500,2199876
3858500,2270007
3858500,2428157
3858500,2602479
3858500,2937678
3858500,3183955
3858501,2707503
3858501,2740439
3858501,2812793
3858501,3435863
3858501,3621898
3858502,3747512
3858503,3269300
3858503,3368323
3858503,3397105
3858503,3470814
3858503,3494280
3858503,3577910
3858503,3749622
3858503,3771436
3858504,72573
3858504,500490
3858504,1852055
3858504,3288177
3858504,3554117
3858504,3608476
3858505,43095
3858505,1493335
3858505,2146158
3858505,2356122
3858505,3357345
3858506,3223033
3858506,3309987
3858506,3318430
3858506,3413922
3858506,3515060
3858506,3709144
3858507,3304860
3858507,3556004
3858507,3565001
3858507,3599565
3858507,3608482
3858508,3431841
3858508,3521560
3858508,3577916
3858508,3702586
3858509,3172353
3858509,3286807
3858509,3314360
3858509,3333089
3858509,3349885
3858509,3465217
3858509,3623587
3858509,3677387
3858509,3712212
3858509,3713523
3858509,3723824
3858510,3556791
3858510,3616370
3858510,3677920
3858510,3695877
3858511,1674426
3858511,1954550
3858511,1966121
3858511,2050950
3858511,2103617
3858511,2211910
3858511,2748699
3858511,2768578
3858511,2990000
3858511,3017830
3858511,3110255
3858511,3195458
3858511,3335663
3858511,3416447
3858511,3424085
3858511,3470817
3858511,3696744
3858511,3750572
3858511,3791295
3858512,1345300
3858512,2320239
3858512,3017830
3858512,3154012
3858512,3168040
3858512,3685445
3858513,2021894
3858513,3490367
3858513,3664260
3858513,3731624
3858514,2633796
3858514,2848088
3858514,2901374
3858514,2932278
3858514,2999275
3858514,3045587
3858514,3124725
3858514,3254626
3858514,3299806
3858514,3310421
3858514,3333334
3858514,3341854
3858514,3484318
3858514,3496304
3858514,3526191
3858514,3530794
3858514,3608488
3858514,3615993
3858514,3641585
3858514,3643629
3858514,3653066
3858514,3662395
3858514,3714664
3858515,1182488
3858515,1230933
3858515,1687341
3858515,2737888
3858516,2472366
3858516,2485887
3858516,2487789
3858516,2511872
3858517,895256
3858517,2742288
3858517,3291486
3858517,3473483
3858517,3690265
3858518,2745542
3858518,3590743
3858518,3610160
3858518,3626857
3858518,3631806
3858519,2916792
3858520,496329
3858520,692137
3858520,2923254
3858520,3252428
3858520,3712237
3858520,3717102
3858521,3470828
3858521,3589300
3858521,3644762
3858521,3662689
3858521,3736880
3858523,3338182
3858523,3724584
3858524,376365
3858524,912005
3858524,1334896
3858525,1386589
3858525,1840351
3858525,2501307
3858525,2699732
3858525,2976819
3858525,3014433
3858525,3135224
3858525,3152558
3858525,3443527
3858525,3468389
3858525,3516365
3858526,3590549
3858526,3626654
3858526,3746160
3858527,924225
3858527,2444326
3858527,2705120
3858527,2967080
3858527,3602157
3858527,3638586
3858527,3699902
3858528,2875008
3858528,3053598
3858528,3342147
3858528,3347186
3858528,3512857
3858528,3513985
3858528,3533362
3858528,3688419
3858528,3698104
3858528,3741852
3858529,1623575
3858529,1732113
3858529,2373722
3858529,2600922
3858529,3004745
3858529,3170415
3858529,3236389
3858529,3646896
3858529,3709086
3858530,1460928
3858530,1667913
3858530,1854777
3858530,2099657
3858530,2407721
3858530,2939589
3858530,3065860
3858530,3102616
3858530,3341160
3858530,3523508
3858530,3544185
3858531,963883
3858531,1468991
3858531,1730745
3858531,1760604
3858531,1805759
3858531,2010877
3858531,2758296
3858532,3604375
3858532,3780674
3858533,2811937
3858533,3538865
3858533,3645218
3858533,3651771
3858533,3707128
3858533,3749031
3858534,2537467
3858534,3412696
3858534,3570421
3858534,3648629
3858534,3747542
3858535,3141426
3858535,3367769
3858535,3521581
3858535,3552333
3858535,3697256
3858536,2739550
3858536,3125046
3858536,3182618
3858536,3246618
3858537,752213
3858537,1441575
3858537,1878915
3858537,1924378
3858538,2586936
3858539,3024751
3858539,3511199
3858539,3511201
3858539,3716008
3858539,3726243
3858539,3735718
3858540,2025750
3858540,2682850
3858540,2950697
3858540,3319330
3858540,3407640
3858540,3422525
3858541,1357473
3858541,2747536
3858541,2987024
3858541,3019755
3858541,3126855
3858541,3152569
3858541,3173160
3858541,3216388
3858541,3347201
3858541,3411169
3858541,3630163
3858541,3659546
3858542,302517
3858542,1859178
3858542,2577917
3858542,2793870
3858542,3455261
3858543,2641215
3858543,2789526
3858543,2840029
3858543,3120830
3858544,2533191
3858544,3136649
3858545,1153585
3858545,2182068
3858545,3137591
3858545,3710754
3858546,1743275
3858546,2081888
3858546,2320529
3858546,3596633
3858547,2351537
3858547,3023727
3858547,3128205
3858547,3486237
3858547,3636917
3858548,2738762
3858548,3089788
3858548,3208888
3858548,3235418
3858548,3658585
3858549,2897329
3858549,3108073
3858549,3141848
3858549,3558376
3858550,3669064
3858550,3669067
3858550,3695219
3858551,411504
3858551,1537117
3858551,2025467
3858551,2157875
3858551,2701546
3858551,3435835
3858551,3551219
3858551,3606986
3858552,221939
3858552,2303088
3858552,2373638
3858552,2602415
3858552,3230105
3858552,3351289
3858553,553547
3858553,2042559
3858553,3589336
3858553,3632431
3858553,3692592
3858553,3783825
3858553,3791344
3858553,3804060
3858553,3827399
3858554,3601095
3858554,3685034
3858555,2712677
3858555,3105462
3858555,3541994
3858556,2312223
3858556,2386842
3858556,2754807
3858556,3604400
3858556,3608525
3858557,1636486
3858557,2791881
3858557,3139722
3858558,3255737
3858558,3766893
3858558,3780707
3858558,3805747
3858559,54581
3858559,986116
3858559,1050300
3858559,1953378
3858559,1996875
3858559,2193178
3858559,2367326
3858559,2461757
3858559,2864346
3858560,957631
3858561,3612013
3858561,3623459
3858561,3689753
3858561,3696303
3858561,3780587
3858561,3780711
3858562,2573989
3858562,3257998
3858562,3444335
3858562,3487817
3858563,3356082
3858563,3704699
3858564,2259480
3858564,3625190
3858564,3780715
3858565,3444847
3858565,3714933
3858565,3726512
3858565,3744715
3858565,3744716
3858565,3801078
3858566,2374685
3858566,2723655
3858566,2848987
3858566,2942599
3858566,3127884
3858566,3306277
3858566,3375814
3858566,3465740
3858566,3518979
3858567,402982
3858567,835150
3858567,1485979
3858567,2758592
3858567,2816539
3858567,2835245
3858567,2997042
3858567,3420221
3858568,2622583
3858568,2739584
3858568,3205884
3858568,3322111
3858569,2283355
3858569,3335753
3858569,3589271
3858569,3719308
3858570,899103
3858570,926304
3858570,1031052
3858570,1510557
3858570,1882093
3858570,2600240
3858570,2848783
3858570,2888162
3858570,3187744
3858570,3190711
3858570,3345985
3858570,3464388
3858570,3529590
3858570,3698397
3858571,3042030
3858571,3404682
3858571,3422813
3858571,3463141
3858571,3467090
3858571,3472231
3858571,3675642
3858571,3680542
3858571,3768102
3858572,2337347
3858572,3407817
3858572,3481323
3858572,3642005
3858572,3709222
3858572,3731679
3858573,1685557
3858573,2795223
3858573,3306283
3858573,3343529
3858574,3228391
3858574,3556084
3858574,3572322
3858574,3599628
3858574,3608545
3858574,3646931
3858574,3661147
3858574,3717140
3858575,1585104
3858575,1805471
3858575,2580628
3858576,3495584
3858576,3561428
3858576,3776228
3858577,3456641
3858577,3467098
3858577,3471215
3858577,3769963
3858578,205069
3858578,1276117
3858578,1279803
3858578,1460697
3858578,2334841
3858578,3542015
3858578,3638973
3858578,3643655
3858579,718594
3858579,1611811
3858579,1728368
3858580,2111985
3858580,2232978
3858580,2377274
3858580,2610628
3858580,3467097
3858580,3494359
3858580,3670728
3858581,2602446
3858581,2627270
3858581,3091239
3858581,3631847
3858581,3701345
3858582,498760
3858582,2589426
3858582,3090383
3858582,3254449
